Program Name,Organization,Cost,Membership Options,For-Profit or Non-Profit,Website,BBB (Yes or No),Description,Service Range (specific counties or regions),County of Headquarters,Address,Latitude Coordinates,Longitude Coordinates,Primary Service (for filtering),Service(s) Summary,Core Audience(s) Summary,Growth Stage(s) Summary,Vertical(s) Summary,Product Type(s) Summary,Contact Name,Contact Information,Referall Contact,"Ecosystem Org (IA, Nonprofit, ect)",Entrepreneur,Startups,SMEs/Companies,University Students,K-12 Students,Discovery/ Idea/ Individual Stage,Early Stage,Growth Stage,Mature Stage,"What size do you identify your business as? (Small, Medium, Large)",Main Street/Storefront,Tech,Manufacturing,Creative Economy,Hardware,Creative/ Artisinal Product,Commercial Product,"Autonomy, AI, & Robotics",Bio/ Life Sciences/ Health care,Defense,Agriculture,Cleantech,Manufacturing,Consumer Good,Talent Development,Energy,VC,Seed Funding,Angel Investor,Grants ($25k-$200k),Grants (>$1M),Loans ($25k-$200k),Loans (>$1M),Networking,Engineering Consultation,Policy Advocacy,Derisking,Acclerator/ Incubator,Funding,Prototyping,Equipment Access,Equipment Rental,Mentorship,Product Development,Pilot Programs,Testing and Demonstration,Made-to- order parts,Talent,Employee Hiring Pipeline,Real Estate Development and Space Leasing,Supply Chain Development,Business & Customer Development,Business Planning Support,Technical Assistance,Automation,Internship,Incumbent Worker Worksforce Training,Coop Project,Online Media,Skills Training,K-12 Programming,Instructor Recruitment Pipeline
Pathways Fellowship,InnovatePGH,Free,Cohort-based fellowship,Non-Profit,https://roboticsfellowship.com/,Yes,"The Pathways Fellowship is a program designed to support CMU students in developing their entrepreneurial ventures. It offers mentorship, resources, and networking opportunities to help students advance their ideas from conception to implementation.",Allegheny County,Allegheny,"218 Oakland Ave, Pittsburgh, PA 15213",40.44109668,-79.95677809,Accelerator/Incubator,"Mentorship, networking, and resource provision for entrepreneurial development",CMU students,"Discovery/Idea/Individual Stage, Early Stage, Growth Stage, Mature Stage",Various industries,Various product types,,,,,X,X,X,X,,X,X,X,X,Small,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X,,,,,,,,,X,,,,,X,,,,X,X,X,,,,,,X,,
Riverside Center for Innovation,Northside Development Company,Free,Open enrollment for eligible particpants,Non-Profit,https://riversidecenterforinnovation.com/,Yes,"RCI is a full-service small business incubator and entrepreneurial support organization focused on empowering historically excluded entrepreneurs—including women, minorities, veterans, and LGBTQ+ individuals—across Southwestern Pennsylvania. It provides incubation support, training, access to capital, and strategic business development services.",SWPA,Allegheny,"700 River Avenue, Pittsburgh, PA 15212",40.45037112,-79.99697219,Business incubation,"Business incubation, entrepreneurial training, access to capital, mentorship, supply chain development, employee hiring pipeline, and technical assistance","Entrepreneurs, startups, SMEs/companies","Discovery/Idea/Individual Stage, Early Stage, Growth Stage, Mature Stage","Various industries including manufacturing, construction, tech-adjacent, and lifestyle businesses","Creative/Artisanal Product, Commercial Product",,,,,X,X,X,X,,X,X,X,X,"Small, Medium",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,
Digital Solutions,RustBuilt Community,Free,,Non-Profit,https://rustbuilt.com/,No,"Small, niche, specialists for high-tech online solutions",,Allegheny,,,,,Skills Training,"Ecosystem Org (IA, Nonprofit, ect), Entrepreneur, Startups, SMEs/Companies","Early Stage, Growth Stage, Mature Stage","Autonomy, AI, & Robotics, Bio/ Life Sciences/ Health care, Defense, Agriculture, Cleantech, Manufacturing, Consumer Good",All Product Types,,,,X,X,X,X,,,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Robotics & Tech Happy Hours,Pittsburgh Robotics Network,Free,,Non-Profit,https://www.robopgh.org/,Yes,"Quarterly get-tgoether with industry professionals, academics, researchers, and non-profits discussing Pittsburgh robotics",,Allegheny,Events change locations accordingly,,,,"Mentorship, Employee Hiring Pipeline, Instructor Recruitment Pipeline",SMEs/Companies,"Discovery/ Idea/ Individual Stage, Early Stage, Growth Stage, Mature Stage",,"Creative/ Artisinal Product, Commercial Product",,,,,,,X,,,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,X,,
Center for Women's Entrepreneurship,Chatham University,Free,Application-based membership,Non-Profit,https://www.chatham.edu/cwe/,No,Entrepreneurial Development Center,,Allegheny,"Entrepreneurship Hub 2nd Fl, 6585 Penn Ave, Pittsburgh, PA 15206",40.4546,-79.912862,,Funding,SMEs/Companies,"Discovery/ Idea/ Individual Stage, Early Stage, Growth Stage, Mature Stage",,"Creative/ Artisinal Product, Commercial Product",,,,,,,X,,,,X,X,X,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Fortyx80,Pittsburgh Tech Council,,Membership based services,Non-Profit,https://www.pghtech.org/fortyx80/about,Yes,"Access to capital, educational programming, and nurturing pathways to technology talent ",,Allegheny,"100 South Commons, Suite 172, Pittsburgh, PA 15212 ",40.451011,-80.005192,,"Mentorship, Employee Hiring Pipeline, Business & Customer Development, Business Planning Support","Entrepreneur, Startups, University Students","Discovery/ Idea/ Individual Stage, Early Stage","Autonomy, AI, & Robotics, Bio/ Life Sciences/ Health care, Defense, Agriculture, Cleantech, Manufacturing, Consumer Good","Creative/ Artisinal Product, Commercial Product",,,,,X,X,,X,,X,X,X,X,,,,,,,X,X,,,,x,x,x,x,,,,,,,,,,,,,,,,,,X,,,,,,X,,,X,X,,,,,,,,,,
Robotics Manufacturing Hub,Advanced Robotics for Manufacturing,,Membership based services,Non-Profit,,Yes,Design for manufacturing services and integrating robotics for manufacturing services/ robotics adoption for manufacturers,,Allegheny,"Mill 19 A 4501 Lytle St., Suite 200
Pittsburgh, PA 15207",40.406997,-79.945274,,"Prototyping, Supply Chain/ Manufacturing Innovation Support","Startups, SMEs/Companies, BIPOC","Growth Stage, Mature Stage","Autonomy, AI, & Robotics, Bio/ Life Sciences/ Health care, Defense, Agriculture, Cleantech, Manufacturing, Consumer Good",Hardware,,,,,,X,X,,,X,X,X,X,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,
Workforce Development ,Advanced Robotics for Manufacturing,Free,Membership based services,Non-Profit,https://arminstitute.org/our-work/workforce-development-services/ & https://www.roboticscareer.org/,Yes,"Offer variety of workforce projects, ranging from apprenticeship programs that target veterans and underrepresented populations to training aimed at attracting younger generations to manufacturing careers",,Allegheny,"Mill 19 A 4501 Lytle St., Suite 200
Pittsburgh, PA 15207",,,,"Prototyping, Talent, Employee Hiring Pipeline, Incumbent Worker Worksforce Training, Skills Training, K-12 Programming","Entrepreneur, Startups, SMEs/Companies, University Students, K-12 Students, BIPOC","Discovery/ Idea/ Individual Stage, Early Stage, Growth Stage, Mature Stage","Autonomy, AI, & Robotics, Bio/ Life Sciences/ Health care, Defense, Agriculture, Cleantech, Manufacturing","Hardware, Commercial Product",,,,,X,X,X,X,X,X,X,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,X,X,,,
Next Leap,Bridgeway Capital & Ascender,,,,https://www.bridgewaycapital.org/creative-business-accelerator/nextleap/,No,Up to seven creative businesses are selected for a 10-week intensive course that helps experienced entrepreneurs articulate their business’s “next leap” and develop an actionable plan ready to realize,Businesses must be located in Western Pennsylvania and Northern West Virginia,Allegheny,Wilkinsburg,40.441736,-79.881994,,"Acclerator/ Incubator, Funding, Mentorship, Business & Customer Development, Business Planning Support","Entrepreneur, Startups, BIPOC","Discovery/ Idea/ Individual Stage, Early Stage","Agriculture, Cleantech, Manufacturing, Consumer Good",All Product Types,,,,,X,X,,,,,,X,X,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,x,X,,,x,,,,,,,,,x,x,,,,,,,,,,
Acre Program,Bridgeway Capital,,,Non-Profit,https://www.bridgewaycapital.org/creative-business-accelerator/acre/,No,"Through an application process, up to 15 creative businesses are selected to join a yearlong ACRE Partners cohort composed of like-minded entrepreneurs who seek to improve and evolve their creative and business practices. ",Rural areas across Western Pennsylvania and Northern West Virginia,Various,"310 Grant Street, Suite 2800
Pittsburgh, PA 15219",40.43766,-79.997539,,"Mentorship, Testing & Demonstration, Business & Customer Development, Business Planning Support","Entrepreneur, Startups, SMEs/Companies, University Students, BIPOC","Discovery/ Idea/ Individual Stage, Early Stage, Growth Stage, Mature Stage",Consumer Good,Creative/ Artisinal Product,,,,,X,X,X,X,,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,,,,
Monmade,Bridgeway Capital,Not Free - Cost N/a,,,https://www.monmade.org/about/,No,"Monmade showcases responsibly handmade and manufactured designs from western Pennsylvania designers, artists, and craftspeople.","""greater Pittsburgh region""",Virtual,Virtual ,,,,Made-to- order parts,"Entrepreneur, Startups, SMEs/Companies","Discovery/ Idea/ Individual Stage, Early Stage, Growth Stage",Consumer Good,Creative/ Artisinal Product,,,,,X,X,X,,,x,x,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSA Test Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGHLab (pilot program),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-bridge (pilot program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Automation,,,,,,,,,,"1100 Rico Road
Monroeville, PA 15146",40.445681,-79.754647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny Valley Chamber of Commerce,,,,Non-Profit,https://www.alleghenyvalleychamber.com/,,,,Allegheny,"1 Acee Drive, Suite 2
Natrona Heights, PA 15065",40.669477,-79.712118,,,,,,,,staff@AlleghenyValleyChamber.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Pittsburgh Chamber of Commerce (Allegheny Conference),,,,Non-Profit,https://greaterpittsburghchamberofcommerce.com/,,,,Allegheny,"11 Stanwix Street, 17th Floor
Pittsburgh, PA 15222-1312",40.439112,-80.00634,,,,,,,,info@AlleghenyConference.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK Strong Chamber of Commerce,,,,Non-Profit,https://allekiskistrong.com/,,,,Allegheny,"1525 Freeport Road
Natrona Heights, PA 15065",40.620643,-79.729534,,,,,,,, lynda@akstrong.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwestern PA Commission,,,,Non-Profit,https://www.spcregion.org/,,,,Allegheny,"42 21st Street, Suite 101 | Pittsburgh, PA 15222",40.452383,-79.984313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGH Tech Council Network (Advanced Manufacturing),,,,,https://www.pghtech.org/,,,,,"100 South Commons, Suite 172, Pittsburgh, PA 15212 ",40.451011,-80.005192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler County Chamber of Commerce,,,,,https://www.butlercountychamber.com/,,,,,"130 S Main Street, Suite 1, Butler, PA 16003",40.860262,-79.89545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Development Corporation of Butler County,,,,,https://www.butlercountycdc.com/,,,,,"110 East Diamond Street, Suite 201/202, Butler, PA 16001",40.885861,-79.934048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer & Business Association,,,,,https://mbausa.org/,,,,,"2171 West 38th Street
Erie, PA 16508",42.081476,-80.11448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tri-County Manufacturing Consortium (Armstrong, Butler & Indiana)",,,,,https://tricountymfg.org/,,,,,"245 Butler Rd
Kittanning, PA 16201",40.807867,-79.531911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn United Learning Institute for Growth of Higher Technology,,,,,https://www.pennunited.com/manufacturing-apprenticeship-customer-training/,,,,,"14 Bonniebrook Rd, Cabot, PA 16023",40.785063,-79.798089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zelienople Area Business Association,,,,,https://www.gozelie.com/,,,,,"PO Box 51, Zelienople, PA 16063",40.7609,-80.10939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Business Exchange,,,,,https://www.pittsburghbusinessexchange.com/,,,,,"6400 Brooktree Ct., Suite 250
Wexford, PA 15090",40.613521,-80.061804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler County Economic Development & Planning,,,,,https://www.butlercountypa.gov/302/Economic-Development,,,,,"124 West Diamond Street
PO Box 1208
Butler, PA 16003-1208",40.858692,-79.896286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana County Chamber of Commerce,,,,,https://www.indianacountychamber.com/,,,,,"1019 Philadelphia Street
Indiana, PA 15701",40.62327,-79.158892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana County Center for Economic Operations (CEO),,,,,https://indianacountyceo.com/,,,,,"801 Water Street
Indiana, PA 15701",40.624633,-79.154905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmoreland County Chamber of Commerce,,,,,https://westmorelandchamber.com/,,,,,"241 Tollgate Hill Road, Greensburg, PA 15601",40.307252,-79.571453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent College Small Business Development Center,,,,,https://www.stvincent.edu/academics/academic-centers/small-business-development-center.html,,,,,"300 Fraser Purchase Road
Latrobe, PA 15650-2690",40.292322,-79.40436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmoreland County Forum for Workforce Development,,,,,https://careerhubconnect.com/,,,,,"Fifth Floor, Suite 510 40 N. Pennsylvania Ave. Greensburg, PA 15601",40.302951,-79.545844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmoreland County Industrial Development Corporation,,,,,https://www.westmorelandcountypa.gov/3439/Industrial-Development-Corporation-IDC,,,,,"Fifth Floor, Suite 52040

N Pennsylvania Avenue

Greensburg, PA 15601",40.305066,-79.546054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Growth Connection of Westmoreland,,,,,https://egcw.org/,,,,,"Fifth Floor, Suite 510
40 N. Pennsylvania Ave.
Greensburg, PA 15601",40.302951,-79.545844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmoreland Fayette Workforce Investment Board,,,,,https://www.westfaywib.org/,,,,,"145 Pavilion Lane,
Youngwood, PA 15697",40.235224,-79.56559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Industry Council of Westmoreland (PIC),,,,,https://privateindustrycouncil.com/,,,,,"219 Donohoe Rd,
Greensburg, PA 15601",40.311042,-79.501746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny Valley Institute of Technology,,,,,https://avit.ws/,,,,,"1 Kiski Avenue

Leechburg, Pennsylvania 15656",40.631269,-79.609015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst Connection,,,,,https://www.catalystconnection.org/,,,,,"4501 Lytle Street, Suite 301
Pittsburgh, PA 15207",40.415018,-79.948103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Tooling & Machining Association,,,,,https://ntma.org/,,,,,"1357 Rockside Road
Cleveland OH 44134",41.404958,-81.688323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Century Careers,,,,,https://www.ncsquared.com/,,,,,"305 East Carson Street
Pittsburgh, PA 15219",40.429719,-79.997509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUP Small Business Development Center,,,,,https://www.iup.edu/business/centers/sbdc/index.html,`,,,,"Eberly College of Business
Room 108
664 Pratt Drive
Indiana, PA 15705",40.612402,-79.162217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
